user_id,event_date,event,plan,segment
u_10005,2024-04-04,signup,Basic,신규
u_10010,2024-04-04,trial_start,Pro,신규
u_10012,2024-04-04,signup,Pro,신규
u_10014,2024-04-04,trial_start,Free,신규
u_10017,2024-04-04,trial_start,Basic,신규
u_10021,2024-04-04,trial_start,Free,신규
u_10024,2024-04-04,signup,Pro,신규
u_10026,2024-04-04,signup,Pro,신규
u_10031,2024-04-04,signup,Free,신규
u_10032,2024-04-04,signup,Free,신규
u_10034,2024-04-04,signup,Basic,신규
u_10038,2024-04-04,signup,Basic,신규
u_10039,2024-04-04,signup,Free,신규
u_10040,2024-04-04,signup,Basic,신규
u_10043,2024-04-04,signup,Basic,신규
u_10048,2024-04-04,trial_start,Basic,신규
u_10049,2024-04-04,signup,Basic,신규
u_10050,2024-04-04,signup,Free,신규
u_10065,2024-04-04,trial_start,Free,신규
u_10069,2024-04-04,trial_start,Basic,신규
u_10076,2024-04-04,trial_start,Free,신규
u_10079,2024-04-04,signup,Free,신규
u_10082,2024-04-04,signup,Basic,신규
u_10090,2024-04-04,signup,Free,신규
u_10093,2024-04-04,signup,Basic,신규
u_10097,2024-04-04,trial_start,Basic,신규
u_10101,2024-04-04,trial_start,Pro,신규
u_10102,2024-04-04,signup,Basic,신규
u_10103,2024-04-04,signup,Free,신규
u_10104,2024-04-04,trial_start,Free,신규
u_10001,2024-04-05,signup,Free,신규
u_10007,2024-04-05,signup,Free,신규
u_10008,2024-04-05,signup,Pro,신규
u_10009,2024-04-05,trial_start,Free,신규
u_10011,2024-04-05,trial_start,Free,신규
u_10016,2024-04-05,trial_start,Free,신규
u_10018,2024-04-05,signup,Basic,신규
u_10022,2024-04-05,trial_start,Free,신규
u_10023,2024-04-05,signup,Pro,신규
u_10033,2024-04-05,trial_start,Free,신규
u_10035,2024-04-05,trial_start,Basic,신규
u_10036,2024-04-05,signup,Pro,신규
u_10038,2024-04-05,trial_start,Basic,신규
u_10045,2024-04-05,signup,Free,신규
u_10046,2024-04-05,signup,Free,신규
u_10047,2024-04-05,trial_start,Free,신규
u_10056,2024-04-05,trial_start,Free,신규
u_10061,2024-04-05,trial_start,Free,신규
u_10066,2024-04-05,signup,Pro,신규
u_10070,2024-04-05,trial_start,Basic,신규
u_10071,2024-04-05,signup,Free,신규
u_10072,2024-04-05,signup,Free,신규
u_10075,2024-04-05,trial_start,Free,신규
u_10077,2024-04-05,signup,Basic,신규
u_10083,2024-04-05,signup,Free,신규
u_10088,2024-04-05,signup,Basic,신규
u_10091,2024-04-05,signup,Free,신규
u_10092,2024-04-05,signup,Pro,신규
u_10095,2024-04-05,signup,Free,신규
u_10099,2024-04-05,signup,Free,신규
u_10100,2024-04-05,trial_start,Basic,신규
u_10005,2024-04-06,trial_start,Basic,신규
u_10007,2024-04-06,trial_start,Free,신규
u_10013,2024-04-06,trial_start,Free,신규
u_10015,2024-04-06,trial_start,Free,신규
u_10020,2024-04-06,trial_start,Basic,신규
u_10045,2024-04-06,trial_start,Free,신규
u_10049,2024-04-06,trial_start,Basic,신규
u_10050,2024-04-06,trial_start,Free,신규
u_10057,2024-04-06,trial_start,Free,신규
u_10058,2024-04-06,trial_start,Free,신규
u_10093,2024-04-06,trial_start,Basic,신규
u_10096,2024-04-06,trial_start,Basic,신규
u_10006,2024-04-07,payment,Free,신규
u_10016,2024-04-07,payment,Free,신규
u_10028,2024-04-07,trial_start,Free,신규
u_10051,2024-04-07,trial_start,Pro,신규
u_10060,2024-04-07,trial_start,Free,신규
u_10079,2024-04-07,trial_start,Free,신규
u_10080,2024-04-07,trial_start,Free,신규
u_10081,2024-04-07,trial_start,Pro,신규
u_10084,2024-04-07,trial_start,Basic,신규
u_10003,2024-04-08,trial_start,Pro,신규
u_10012,2024-04-08,trial_start,Pro,신규
u_10012,2024-04-08,login,Pro,신규
u_10015,2024-04-08,login,Free,신규
u_10017,2024-04-08,payment,Basic,신규
u_10020,2024-04-08,login,Basic,신규
u_10022,2024-04-08,search_fail,Free,신규
u_10030,2024-04-08,login,Free,이탈위험
u_10034,2024-04-08,login,Basic,신규
u_10036,2024-04-08,trial_start,Pro,신규
u_10039,2024-04-08,trial_start,Free,신규
u_10043,2024-04-08,trial_start,Basic,신규
u_10054,2024-04-08,login,Free,이탈위험
u_10058,2024-04-08,login,Free,신규
u_10061,2024-04-08,payment,Free,신규
u_10062,2024-04-08,login,Free,신규
u_10063,2024-04-08,trial_start,Free,신규
u_10066,2024-04-08,login,Pro,신규
u_10068,2024-04-08,login,Basic,신규
u_10074,2024-04-08,login,Basic,신규
u_10076,2024-04-08,login,Free,신규
u_10088,2024-04-08,login,Basic,신규
u_10090,2024-04-08,trial_start,Free,신규
u_10094,2024-04-08,trial_start,Basic,신규
u_10095,2024-04-08,trial_start,Free,신규
u_10105,2024-04-08,signup,Free,신규
u_10119,2024-04-08,signup,Free,신규
u_10124,2024-04-08,signup,Basic,신규
u_10125,2024-04-08,signup,Pro,신규
u_10126,2024-04-08,signup,Free,신규
u_10127,2024-04-08,signup,Free,신규
u_10128,2024-04-08,signup,Basic,신규
u_10133,2024-04-08,signup,Free,신규
u_10139,2024-04-08,signup,Free,신규
u_10147,2024-04-08,signup,Free,신규
u_10148,2024-04-08,signup,Free,신규
u_10149,2024-04-08,signup,Free,신규
u_10151,2024-04-08,signup,Basic,신규
u_10155,2024-04-08,signup,Free,신규
u_10157,2024-04-08,signup,Pro,신규
u_10160,2024-04-08,signup,Pro,신규
u_10165,2024-04-08,signup,Free,신규
u_10174,2024-04-08,signup,Free,신규
u_10178,2024-04-08,signup,Basic,신규
u_10191,2024-04-08,signup,Basic,신규
u_10196,2024-04-08,signup,Free,신규
u_10199,2024-04-08,signup,Pro,신규
u_10209,2024-04-08,signup,Pro,신규
u_10213,2024-04-08,signup,Basic,신규
u_10216,2024-04-08,signup,Basic,신규
u_10004,2024-04-09,payment,Basic,신규
u_10011,2024-04-09,login,Free,신규
u_10015,2024-04-09,payment,Free,신규
u_10017,2024-04-09,login,Basic,신규
u_10021,2024-04-09,payment,Free,신규
u_10026,2024-04-09,trial_start,Pro,신규
u_10034,2024-04-09,trial_start,Basic,신규
u_10037,2024-04-09,login,Free,신규
u_10044,2024-04-09,login,Basic,신규
u_10050,2024-04-09,login,Free,신규
u_10051,2024-04-09,payment,Pro,신규
u_10053,2024-04-09,login,Basic,신규
u_10066,2024-04-09,trial_start,Pro,신규
u_10072,2024-04-09,trial_start,Free,신규
u_10077,2024-04-09,login,Basic,신규
u_10080,2024-04-09,login,Free,신규
u_10081,2024-04-09,payment,Pro,신규
u_10082,2024-04-09,trial_start,Basic,신규
u_10082,2024-04-09,login,Basic,이탈위험
u_10082,2024-04-09,search_fail,Basic,이탈위험
u_10085,2024-04-09,login,Basic,이탈위험
u_10092,2024-04-09,trial_start,Pro,신규
u_10096,2024-04-09,cancel,Basic,이탈위험
u_10103,2024-04-09,trial_start,Free,신규
u_10104,2024-04-09,login,Free,신규
u_10105,2024-04-09,trial_start,Free,신규
u_10113,2024-04-09,signup,Basic,신규
u_10114,2024-04-09,signup,Free,신규
u_10120,2024-04-09,signup,Free,신규
u_10128,2024-04-09,trial_start,Basic,신규
u_10129,2024-04-09,signup,Free,신규
u_10131,2024-04-09,signup,Basic,신규
u_10145,2024-04-09,signup,Free,신규
u_10147,2024-04-09,trial_start,Free,신규
u_10153,2024-04-09,signup,Pro,신규
u_10166,2024-04-09,signup,Pro,신규
u_10172,2024-04-09,signup,Basic,신규
u_10173,2024-04-09,signup,Pro,신규
u_10192,2024-04-09,signup,Basic,신규
u_10198,2024-04-09,signup,Free,신규
u_10200,2024-04-09,signup,Basic,신규
u_10201,2024-04-09,signup,Free,신규
u_10202,2024-04-09,signup,Free,신규
u_10206,2024-04-09,signup,Free,신규
u_10207,2024-04-09,signup,Free,신규
u_10211,2024-04-09,signup,Pro,신규
u_10212,2024-04-09,signup,Basic,신규
u_10214,2024-04-09,signup,Pro,신규
u_10004,2024-04-10,login,Basic,신규
u_10006,2024-04-10,login,Free,신규
u_10009,2024-04-10,cancel,Free,이탈위험
u_10013,2024-04-10,login,Free,신규
u_10016,2024-04-10,login,Free,신규
u_10018,2024-04-10,trial_start,Basic,신규
u_10023,2024-04-10,trial_start,Pro,신규
u_10025,2024-04-10,login,Basic,신규
u_10025,2024-04-10,search_fail,Basic,신규
u_10026,2024-04-10,payment,Pro,신규
u_10029,2024-04-10,search_fail,Pro,이탈위험
u_10032,2024-04-10,login,Free,신규
u_10033,2024-04-10,login,Free,신규
u_10044,2024-04-10,payment,Basic,신규
u_10045,2024-04-10,login,Free,신규
u_10049,2024-04-10,login,Basic,신규
u_10055,2024-04-10,login,Basic,신규
u_10059,2024-04-10,login,Pro,신규
u_10065,2024-04-10,login,Free,신규
u_10067,2024-04-10,login,Free,신규
u_10070,2024-04-10,login,Basic,신규
u_10072,2024-04-10,login,Free,신규
u_10076,2024-04-10,payment,Free,신규
u_10078,2024-04-10,login,Basic,신규
u_10081,2024-04-10,login,Pro,신규
u_10090,2024-04-10,login,Free,신규
u_10097,2024-04-10,payment,Basic,신규
u_10100,2024-04-10,login,Basic,신규
u_10101,2024-04-10,login,Pro,신규
u_10109,2024-04-10,signup,Free,신규
u_10110,2024-04-10,signup,Basic,신규
u_10111,2024-04-10,signup,Free,신규
u_10112,2024-04-10,signup,Basic,신규
u_10118,2024-04-10,signup,Basic,신규
u_10130,2024-04-10,signup,Basic,신규
u_10132,2024-04-10,signup,Basic,신규
u_10138,2024-04-10,signup,Pro,신규
u_10140,2024-04-10,signup,Basic,신규
u_10146,2024-04-10,signup,Basic,신규
u_10158,2024-04-10,signup,Basic,신규
u_10166,2024-04-10,trial_start,Pro,신규
u_10168,2024-04-10,signup,Pro,신규
u_10171,2024-04-10,signup,Free,신규
u_10175,2024-04-10,signup,Basic,신규
u_10180,2024-04-10,signup,Basic,신규
u_10182,2024-04-10,signup,Free,신규
u_10184,2024-04-10,signup,Basic,신규
u_10188,2024-04-10,signup,Basic,신규
u_10194,2024-04-10,signup,Free,신규
u_10206,2024-04-10,trial_start,Free,신규
u_10208,2024-04-10,signup,Basic,신규
u_10210,2024-04-10,signup,Basic,신규
u_10002,2024-04-11,login,Basic,신규
u_10003,2024-04-11,login,Pro,신규
u_10008,2024-04-11,login,Pro,신규
u_10009,2024-04-11,payment,Free,신규
u_10010,2024-04-11,login,Pro,신규
u_10014,2024-04-11,payment,Free,신규
u_10018,2024-04-11,payment,Basic,신규
u_10021,2024-04-11,login,Free,신규
u_10022,2024-04-11,payment,Free,신규
u_10023,2024-04-11,login,Pro,신규
u_10026,2024-04-11,login,Pro,신규
u_10029,2024-04-11,login,Pro,이탈위험
u_10035,2024-04-11,payment,Basic,신규
u_10039,2024-04-11,payment,Free,신규
u_10046,2024-04-11,login,Free,신규
u_10048,2024-04-11,payment,Basic,신규
u_10051,2024-04-11,login,Pro,신규
u_10052,2024-04-11,login,Free,신규
u_10060,2024-04-11,login,Free,신규
u_10069,2024-04-11,login,Basic,신규
u_10082,2024-04-11,payment,Basic,신규
u_10084,2024-04-11,cancel,Basic,이탈위험
u_10086,2024-04-11,search_fail,Basic,신규
u_10092,2024-04-11,login,Pro,신규
u_10093,2024-04-11,payment,Basic,신규
u_10095,2024-04-11,login,Free,신규
u_10097,2024-04-11,login,Basic,신규
u_10107,2024-04-11,signup,Basic,신규
u_10110,2024-04-11,trial_start,Basic,신규
u_10112,2024-04-11,trial_start,Basic,신규
u_10115,2024-04-11,signup,Free,신규
u_10116,2024-04-11,signup,Basic,신규
u_10117,2024-04-11,signup,Free,신규
u_10118,2024-04-11,trial_start,Basic,신규
u_10120,2024-04-11,trial_start,Free,신규
u_10132,2024-04-11,trial_start,Basic,신규
u_10135,2024-04-11,signup,Basic,신규
u_10136,2024-04-11,signup,Basic,신규
u_10137,2024-04-11,signup,Basic,신규
u_10141,2024-04-11,signup,Basic,신규
u_10142,2024-04-11,signup,Free,신규
u_10143,2024-04-11,signup,Free,신규
u_10145,2024-04-11,trial_start,Free,신규
u_10148,2024-04-11,trial_start,Free,신규
u_10149,2024-04-11,trial_start,Free,신규
u_10150,2024-04-11,signup,Basic,신규
u_10152,2024-04-11,signup,Free,신규
u_10154,2024-04-11,signup,Basic,신규
u_10159,2024-04-11,signup,Free,신규
u_10161,2024-04-11,signup,Free,신규
u_10162,2024-04-11,signup,Basic,신규
u_10170,2024-04-11,signup,Free,신규
u_10173,2024-04-11,trial_start,Pro,신규
u_10176,2024-04-11,signup,Free,신규
u_10177,2024-04-11,signup,Pro,신규
u_10181,2024-04-11,signup,Basic,신규
u_10185,2024-04-11,signup,Basic,신규
u_10186,2024-04-11,signup,Free,신규
u_10187,2024-04-11,signup,Basic,신규
u_10188,2024-04-11,trial_start,Basic,신규
u_10189,2024-04-11,signup,Basic,신규
u_10193,2024-04-11,signup,Basic,신규
u_10203,2024-04-11,signup,Basic,신규
u_10204,2024-04-11,signup,Basic,신규
u_10205,2024-04-11,signup,Pro,신규
u_10215,2024-04-11,signup,Free,신규
u_10013,2024-04-12,payment,Free,신규
u_10014,2024-04-12,login,Free,이탈위험
u_10018,2024-04-12,login,Basic,신규
u_10019,2024-04-12,login,Free,신규
u_10020,2024-04-12,payment,Basic,신규
u_10024,2024-04-12,login,Pro,신규
u_10035,2024-04-12,login,Basic,신규
u_10039,2024-04-12,login,Free,신규
u_10040,2024-04-12,login,Basic,신규
u_10047,2024-04-12,login,Free,신규
u_10050,2024-04-12,payment,Free,신규
u_10056,2024-04-12,login,Free,신규
u_10073,2024-04-12,login,Basic,신규
u_10087,2024-04-12,login,Free,신규
u_10090,2024-04-12,payment,Free,신규
u_10091,2024-04-12,login,Free,신규
u_10098,2024-04-12,login,Basic,이탈위험
u_10102,2024-04-12,login,Basic,신규
u_10103,2024-04-12,payment,Free,신규
u_10106,2024-04-12,signup,Basic,신규
u_10108,2024-04-12,signup,Basic,신규
u_10121,2024-04-12,signup,Basic,신규
u_10122,2024-04-12,signup,Free,신규
u_10123,2024-04-12,signup,Free,신규
u_10129,2024-04-12,trial_start,Free,신규
u_10134,2024-04-12,signup,Pro,신규
u_10139,2024-04-12,trial_start,Free,신규
u_10140,2024-04-12,trial_start,Basic,신규
u_10144,2024-04-12,signup,Basic,신규
u_10156,2024-04-12,signup,Basic,신규
u_10161,2024-04-12,trial_start,Free,신규
u_10163,2024-04-12,signup,Free,신규
u_10164,2024-04-12,signup,Basic,신규
u_10167,2024-04-12,signup,Basic,신규
u_10169,2024-04-12,signup,Free,신규
u_10179,2024-04-12,signup,Basic,신규
u_10183,2024-04-12,signup,Free,신규
u_10190,2024-04-12,signup,Basic,신규
u_10195,2024-04-12,signup,Free,신규
u_10197,2024-04-12,signup,Pro,신규
u_10201,2024-04-12,trial_start,Free,신규
u_10203,2024-04-12,trial_start,Basic,신규
u_10204,2024-04-12,trial_start,Basic,신규
u_10208,2024-04-12,trial_start,Basic,신규
u_10209,2024-04-12,trial_start,Pro,신규
u_10210,2024-04-12,trial_start,Basic,신규
u_10211,2024-04-12,trial_start,Pro,신규
u_10212,2024-04-12,trial_start,Basic,신규
u_10214,2024-04-12,trial_start,Pro,신규
u_10003,2024-04-13,payment,Pro,신규
u_10005,2024-04-13,login,Basic,신규
u_10010,2024-04-13,payment,Pro,신규
u_10012,2024-04-13,payment,Pro,신규
u_10022,2024-04-13,login,Free,신규
u_10027,2024-04-13,login,Basic,신규
u_10031,2024-04-13,login,Free,신규
u_10036,2024-04-13,payment,Pro,신규
u_10043,2024-04-13,login,Basic,신규
u_10048,2024-04-13,login,Basic,신규
u_10049,2024-04-13,payment,Basic,신규
u_10056,2024-04-13,payment,Free,신규
u_10057,2024-04-13,login,Free,신규
u_10058,2024-04-13,payment,Free,신규
u_10061,2024-04-13,login,Free,신규
u_10063,2024-04-13,login,Free,신규
u_10064,2024-04-13,login,Basic,신규
u_10068,2024-04-13,payment,Basic,신규
u_10075,2024-04-13,payment,Free,신규
u_10079,2024-04-13,payment,Free,신규
u_10089,2024-04-13,login,Basic,이탈위험
u_10093,2024-04-13,login,Basic,신규
u_10094,2024-04-13,payment,Basic,신규
u_10119,2024-04-13,trial_start,Free,신규
u_10160,2024-04-13,trial_start,Pro,신규
u_10170,2024-04-13,trial_start,Free,신규
u_10172,2024-04-13,trial_start,Basic,신규
u_10178,2024-04-13,trial_start,Basic,신규
u_10184,2024-04-13,trial_start,Basic,신규
u_10186,2024-04-13,trial_start,Free,신규
u_10198,2024-04-13,trial_start,Free,신규
u_10199,2024-04-13,trial_start,Pro,신규
u_10202,2024-04-13,trial_start,Free,신규
u_10205,2024-04-13,trial_start,Pro,신규
u_10207,2024-04-13,trial_start,Free,신규
u_10215,2024-04-13,trial_start,Free,신규
u_10036,2024-04-14,login,Pro,신규
u_10037,2024-04-14,payment,Free,신규
u_10038,2024-04-14,login,Basic,신규
u_10045,2024-04-14,payment,Free,신규
u_10063,2024-04-14,search_fail,Free,신규
u_10065,2024-04-14,payment,Free,신규
u_10069,2024-04-14,payment,Basic,신규
u_10072,2024-04-14,payment,Free,신규
u_10075,2024-04-14,login,Free,신규
u_10079,2024-04-14,login,Free,신규
u_10086,2024-04-14,login,Basic,신규
u_10088,2024-04-14,search_fail,Basic,신규
u_10094,2024-04-14,login,Basic,신규
u_10095,2024-04-14,payment,Free,신규
u_10099,2024-04-14,login,Free,이탈위험
u_10100,2024-04-14,payment,Basic,신규
u_10101,2024-04-14,payment,Pro,신규
u_10103,2024-04-14,login,Free,신규
u_10106,2024-04-14,trial_start,Basic,신규
u_10114,2024-04-14,trial_start,Free,신규
u_10115,2024-04-14,trial_start,Free,신규
u_10122,2024-04-14,trial_start,Free,신규
u_10123,2024-04-14,trial_start,Free,신규
u_10136,2024-04-14,trial_start,Basic,신규
u_10137,2024-04-14,trial_start,Basic,신규
u_10141,2024-04-14,trial_start,Basic,신규
u_10153,2024-04-14,trial_start,Pro,신규
u_10179,2024-04-14,trial_start,Basic,신규
u_10181,2024-04-14,trial_start,Basic,신규
u_10185,2024-04-14,trial_start,Basic,신규
u_10194,2024-04-14,trial_start,Free,신규
u_10195,2024-04-14,trial_start,Free,신규
u_10027,2024-04-15,payment,Basic,신규
u_10027,2024-04-15,login,Basic,기존
u_10028,2024-04-15,login,Free,기존
u_10038,2024-04-15,payment,Basic,신규
u_10043,2024-04-15,payment,Basic,신규
u_10047,2024-04-15,payment,Free,신규
u_10048,2024-04-15,login,Basic,기존
u_10049,2024-04-15,login,Basic,기존
u_10049,2024-04-15,search_fail,Basic,기존
u_10050,2024-04-15,login,Free,기존
u_10055,2024-04-15,login,Basic,기존
u_10060,2024-04-15,login,Free,기존
u_10063,2024-04-15,payment,Free,신규
u_10066,2024-04-15,search_fail,Pro,기존
u_10073,2024-04-15,login,Basic,이탈위험
u_10075,2024-04-15,login,Free,기존
u_10079,2024-04-15,login,Free,기존
u_10080,2024-04-15,payment,Free,신규
u_10095,2024-04-15,search_fail,Free,기존
u_10101,2024-04-15,login,Pro,기존
u_10102,2024-04-15,login,Basic,기존
u_10104,2024-04-15,payment,Free,신규
u_10122,2024-04-15,login,Free,신규
u_10123,2024-04-15,login,Free,신규
u_10124,2024-04-15,login,Basic,신규
u_10130,2024-04-15,trial_start,Basic,신규
u_10139,2024-04-15,login,Free,신규
u_10143,2024-04-15,trial_start,Free,신규
u_10143,2024-04-15,login,Free,이탈위험
u_10145,2024-04-15,login,Free,신규
u_10146,2024-04-15,trial_start,Basic,신규
u_10152,2024-04-15,trial_start,Free,신규
u_10153,2024-04-15,login,Pro,신규
u_10153,2024-04-15,search_fail,Pro,신규
u_10158,2024-04-15,trial_start,Basic,신규
u_10160,2024-04-15,payment,Pro,신규
u_10163,2024-04-15,trial_start,Free,신규
u_10166,2024-04-15,payment,Pro,신규
u_10168,2024-04-15,trial_start,Pro,신규
u_10169,2024-04-15,trial_start,Free,신규
u_10170,2024-04-15,login,Free,신규
u_10171,2024-04-15,trial_start,Free,신규
u_10175,2024-04-15,trial_start,Basic,신규
u_10182,2024-04-15,trial_start,Free,신규
u_10193,2024-04-15,trial_start,Basic,신규
u_10196,2024-04-15,login,Free,신규
u_10197,2024-04-15,trial_start,Pro,신규
u_10200,2024-04-15,login,Basic,신규
u_10209,2024-04-15,payment,Pro,신규
u_10219,2024-04-15,signup,Basic,신규
u_10221,2024-04-15,signup,Free,신규
u_10225,2024-04-15,signup,Basic,신규
u_10227,2024-04-15,signup,Free,신규
u_10237,2024-04-15,signup,Basic,신규
u_10238,2024-04-15,signup,Basic,신규
u_10240,2024-04-15,signup,Basic,신규
u_10250,2024-04-15,signup,Basic,신규
u_10261,2024-04-15,signup,Free,신규
u_10263,2024-04-15,signup,Basic,신규
u_10278,2024-04-15,signup,Pro,신규
u_10282,2024-04-15,signup,Free,신규
u_10284,2024-04-15,signup,Free,신규
u_10288,2024-04-15,signup,Basic,신규
u_10289,2024-04-15,signup,Free,신규
u_10290,2024-04-15,signup,Free,신규
u_10294,2024-04-15,signup,Free,신규
u_10296,2024-04-15,signup,Free,신규
u_10304,2024-04-15,signup,Free,신규
u_10306,2024-04-15,signup,Basic,신규
u_10307,2024-04-15,signup,Basic,신규
u_10311,2024-04-15,signup,Free,신규
u_10313,2024-04-15,signup,Pro,신규
u_10322,2024-04-15,signup,Free,신규
u_10001,2024-04-16,login,Free,이탈위험
u_10005,2024-04-16,payment,Basic,신규
u_10017,2024-04-16,login,Basic,기존
u_10026,2024-04-16,login,Pro,기존
u_10032,2024-04-16,login,Free,기존
u_10037,2024-04-16,login,Free,기존
u_10042,2024-04-16,login,Pro,이탈위험
u_10045,2024-04-16,login,Free,기존
u_10056,2024-04-16,login,Free,기존
u_10063,2024-04-16,login,Free,기존
u_10064,2024-04-16,login,Basic,이탈위험
u_10070,2024-04-16,payment,Basic,신규
u_10072,2024-04-16,login,Free,기존
u_10077,2024-04-16,login,Basic,이탈위험
u_10081,2024-04-16,login,Pro,기존
u_10082,2024-04-16,cancel,Basic,이탈위험
u_10086,2024-04-16,login,Basic,이탈위험
u_10091,2024-04-16,login,Free,기존
u_10111,2024-04-16,login,Free,신규
u_10118,2024-04-16,login,Basic,신규
u_10129,2024-04-16,payment,Free,신규
u_10134,2024-04-16,trial_start,Pro,신규
u_10135,2024-04-16,trial_start,Basic,신규
u_10142,2024-04-16,trial_start,Free,신규
u_10149,2024-04-16,login,Free,신규
u_10154,2024-04-16,trial_start,Basic,신규
u_10155,2024-04-16,login,Free,이탈위험
u_10156,2024-04-16,trial_start,Basic,신규
u_10158,2024-04-16,login,Basic,신규
u_10159,2024-04-16,login,Free,이탈위험
u_10161,2024-04-16,login,Free,신규
u_10174,2024-04-16,login,Free,신규
u_10175,2024-04-16,login,Basic,신규
u_10181,2024-04-16,login,Basic,신규
u_10182,2024-04-16,payment,Free,신규
u_10188,2024-04-16,login,Basic,신규
u_10193,2024-04-16,login,Basic,신규
u_10201,2024-04-16,payment,Free,신규
u_10204,2024-04-16,login,Basic,신규
u_10214,2024-04-16,login,Pro,신규
u_10218,2024-04-16,signup,Free,신규
u_10229,2024-04-16,signup,Basic,신규
u_10231,2024-04-16,signup,Free,신규
u_10244,2024-04-16,signup,Basic,신규
u_10248,2024-04-16,signup,Basic,신규
u_10264,2024-04-16,signup,Pro,신규
u_10265,2024-04-16,signup,Free,신규
u_10269,2024-04-16,signup,Free,신규
u_10272,2024-04-16,signup,Basic,신규
u_10281,2024-04-16,signup,Basic,신규
u_10285,2024-04-16,signup,Free,신규
u_10291,2024-04-16,signup,Pro,신규
u_10293,2024-04-16,signup,Pro,신규
u_10299,2024-04-16,signup,Basic,신규
u_10307,2024-04-16,trial_start,Basic,신규
u_10309,2024-04-16,signup,Basic,신규
u_10310,2024-04-16,signup,Basic,신규
u_10317,2024-04-16,signup,Pro,신규
u_10321,2024-04-16,signup,Free,신규
u_10005,2024-04-17,login,Basic,기존
u_10006,2024-04-17,login,Free,이탈위험
u_10007,2024-04-17,payment,Free,신규
u_10010,2024-04-17,login,Pro,기존
u_10011,2024-04-17,login,Free,기존
u_10015,2024-04-17,login,Free,기존
u_10020,2024-04-17,login,Basic,이탈위험
u_10023,2024-04-17,payment,Pro,신규
u_10034,2024-04-17,payment,Basic,신규
u_10041,2024-04-17,search_fail,Free,이탈위험
u_10054,2024-04-17,cancel,Free,이탈위험
u_10057,2024-04-17,login,Free,기존
u_10089,2024-04-17,cancel,Basic,이탈위험
u_10092,2024-04-17,login,Pro,기존
u_10097,2024-04-17,login,Basic,기존
u_10098,2024-04-17,cancel,Basic,이탈위험
